time,s,i,v,p_s,p_i,phi
7.600000,0.622461,0.027462,0.050000,45.575616,537.811104,-26.369037
7.700000,0.618836,0.027700,0.050000,45.397748,532.592226,-26.093749
7.800000,0.615227,0.027937,0.050000,45.219670,527.466151,-25.820375
7.900000,0.611636,0.028173,0.050000,45.041387,522.430810,-25.548913
8.000000,0.608060,0.028409,0.050000,44.862907,517.484183,-25.279357
8.100000,0.604502,0.028643,0.050000,44.684236,512.624307,-25.011704
8.200000,0.600960,0.028876,0.050000,44.505381,507.849266,-24.745950
8.300000,0.597435,0.029108,0.050000,44.326349,503.157196,-24.482092
8.400000,0.593926,0.029338,0.050000,44.147148,498.546280,-24.220124
8.500000,0.590433,0.029568,0.050000,43.967783,494.014746,-23.960043
8.600000,0.586957,0.029796,0.050000,43.788263,489.560869,-23.701845
8.700000,0.583498,0.030022,0.050000,43.608593,485.182967,-23.445525
8.800000,0.580055,0.030248,0.050000,43.428782,480.879399,-23.191079
8.900000,0.576628,0.030472,0.050000,43.248836,476.648569,-22.938502
9.000000,0.573218,0.030694,0.050000,43.068762,472.488917,-22.687791
9.100000,0.569824,0.030915,0.050000,42.888568,468.398925,-22.438940
9.200000,0.566447,0.031134,0.050000,42.708261,464.377110,-22.191945
9.300000,0.563085,0.031352,0.050000,42.527847,460.422030,-21.946801
9.400000,0.559740,0.031568,0.050000,42.347335,456.532275,-21.703504
9.500000,0.556411,0.031782,0.050000,42.166731,452.706470,-21.462048
9.600000,0.553099,0.031995,0.050000,41.986042,448.943276,-21.222429
9.700000,0.549802,0.032206,0.050000,41.805277,445.241386,-20.984641
9.800000,0.546522,0.032415,0.050000,41.624441,441.599524,-20.748680
9.900000,0.543258,0.032622,0.050000,41.443543,438.016445,-20.514540
10.000000,0.540010,0.032828,0.050000,41.262590,434.490936,-20.282216
10.100000,0.536778,0.033031,0.050000,41.081589,431.021812,-20.051704
10.200000,0.533562,0.033233,0.050000,40.900548,427.607915,-19.822996
10.300000,0.530363,0.033433,0.050000,40.719473,424.248118,-19.596089
10.400000,0.527179,0.033630,0.050000,40.538373,420.941319,-19.370975
10.500000,0.524011,0.033826,0.050000,40.357254,417.686442,-19.147651
10.600000,0.520859,0.034019,0.050000,40.176125,414.482439,-18.926110
10.700000,0.517723,0.034211,0.050000,39.994992,411.328283,-18.706346
10.800000,0.514603,0.034400,0.050000,39.813863,408.222974,-18.488353
10.900000,0.511499,0.034587,0.050000,39.632745,405.165536,-18.272125
11.000000,0.508411,0.034772,0.050000,39.451646,402.155012,-18.057658
11.100000,0.505339,0.034955,0.050000,39.270574,399.190473,-17.844943
11.200000,0.502282,0.035135,0.050000,39.089535,396.271007,-17.633975
11.300000,0.499241,0.035313,0.050000,38.908537,393.395725,-17.424749
11.400000,0.496216,0.035489,0.050000,38.727588,390.563758,-17.217257
11.500000,0.493207,0.035662,0.050000,38.546694,387.774258,-17.011493
11.600000,0.490213,0.035833,0.050000,38.365864,385.026396,-16.807450
11.700000,0.487235,0.036002,0.050000,38.185105,382.319362,-16.605123
11.800000,0.484273,0.036168,0.050000,38.004425,379.652363,-16.404504
11.900000,0.481326,0.036332,0.050000,37.823829,377.024626,-16.205586
12.000000,0.478395,0.036493,0.050000,37.643327,374.435395,-16.008364
12.100000,0.475479,0.036652,0.050000,37.462926,371.883931,-15.812830
12.200000,0.472579,0.036808,0.050000,37.282632,369.369511,-15.618976
12.300000,0.469694,0.036962,0.050000,37.102454,366.891429,-15.426797
12.400000,0.466825,0.037113,0.050000,36.922399,364.448994,-15.236285
12.500000,0.463971,0.037262,0.050000,36.742473,362.041533,-15.047432
12.600000,0.461132,0.037408,0.050000,36.562685,359.668383,-14.860232
12.700000,0.458309,0.037551,0.050000,36.383041,357.328900,-14.674678
12.800000,0.455501,0.037692,0.050000,36.203550,355.022453,-14.490761
12.900000,0.452709,0.037830,0.050000,36.024218,352.748424,-14.308475
13.000000,0.449931,0.037966,0.050000,35.845053,350.506208,-14.127812
13.100000,0.447169,0.038099,0.050000,35.666061,348.295217,-13.948764
13.200000,0.444422,0.038229,0.050000,35.487251,346.114871,-13.771324
13.300000,0.441690,0.038356,0.050000,35.308629,343.964605,-13.595484
13.400000,0.438974,0.038481,0.050000,35.130202,341.843866,-13.421237
13.500000,0.436272,0.038603,0.050000,34.951979,339.752113,-13.248574
13.600000,0.433586,0.038722,0.050000,34.773965,337.688817,-13.077488
13.700000,0.430914,0.038838,0.050000,34.596168,335.653458,-12.907971
13.800000,0.428257,0.038952,0.050000,34.418596,333.645530,-12.740014
13.900000,0.425616,0.039063,0.050000,34.241255,331.664536,-12.573610
14.000000,0.422989,0.039171,0.050000,34.064152,329.709991,-12.408751
14.100000,0.420377,0.039277,0.050000,33.887294,327.781418,-12.245428
14.200000,0.417779,0.039379,0.050000,33.710688,325.878352,-12.083633
14.300000,0.415197,0.039479,0.050000,33.534342,324.000337,-11.923359
14.400000,0.412629,0.039576,0.050000,33.358262,322.146927,-11.764596
14.500000,0.410076,0.039670,0.050000,33.182455,320.317684,-11.607336
14.600000,0.407538,0.039761,0.050000,33.006928,318.512180,-11.451571
14.700000,0.405014,0.039850,0.050000,32.831688,316.729996,-11.297293
14.800000,0.402505,0.039935,0.050000,32.656741,314.970722,-11.144493
14.900000,0.400010,0.040018,0.050000,32.482095,313.233955,-10.993162
