time,s,i,v,p_s,p_i,phi
0.000000,0.950000,0.010000,0.050000,36.512984,1018.817025,-32.687335
0.100000,0.944965,0.010185,0.050000,36.400559,999.999993,-32.397254
0.200000,0.939951,0.010016,0.050000,36.297528,983.131961,-32.117913
0.300000,0.934969,0.010199,0.050000,36.193796,966.699137,-31.840086
0.400000,0.930008,0.010383,0.050000,36.089359,950.688478,-31.563404
0.500000,0.925069,0.010569,0.050000,35.984209,935.087389,-31.287862
0.600000,0.920150,0.010756,0.050000,35.878342,919.883702,-31.013454
0.700000,0.915252,0.010946,0.050000,35.771750,905.065661,-30.740176
0.800000,0.910375,0.011137,0.050000,35.664428,890.621911,-30.468021
0.900000,0.905519,0.011330,0.050000,35.556371,876.541476,-30.196985
1.000000,0.900684,0.011524,0.050000,35.447571,862.813747,-29.927062
1.100000,0.895869,0.011720,0.050000,35.338022,849.428474,-29.658248
1.200000,0.891075,0.011918,0.050000,35.227719,836.375745,-29.390537
1.300000,0.886301,0.012117,0.050000,35.116655,823.645976,-29.123924
1.400000,0.881547,0.012318,0.050000,35.004824,811.229903,-28.858406
1.500000,0.876814,0.012521,0.050000,34.892218,799.118564,-28.593976
1.600000,0.872100,0.012725,0.050000,34.778833,787.303293,-28.330631
1.700000,0.867407,0.012931,0.050000,34.664661,775.775705,-28.068366
1.800000,0.862733,0.013138,0.050000,34.549696,764.527692,-27.807175
1.900000,0.858080,0.013347,0.050000,34.433932,753.551404,-27.547056
2.000000,0.853446,0.013557,0.050000,34.317361,742.839248,-27.288003
2.100000,0.848831,0.013768,0.050000,34.199976,732.383876,-27.030012
2.200000,0.844237,0.013981,0.050000,34.081772,722.178173,-26.773079
2.300000,0.839661,0.014196,0.050000,33.962742,712.215254,-26.517200
2.400000,0.835105,0.014411,0.050000,33.842878,702.488453,-26.262370
2.500000,0.830569,0.014628,0.050000,33.722174,692.991314,-26.008586
2.600000,0.826051,0.014846,0.050000,33.600622,683.717587,-25.755844
2.700000,0.821553,0.015066,0.050000,33.478217,674.661219,-25.504140
2.800000,0.817074,0.015286,0.050000,33.354950,665.816345,-25.253470
2.900000,0.812614,0.015508,0.050000,33.230814,657.177286,-25.003830
3.000000,0.808173,0.015731,0.050000,33.105804,648.738538,-24.755218
3.100000,0.803751,0.015955,0.050000,32.979911,640.494770,-24.507628
3.200000,0.799347,0.016180,0.050000,32.853128,632.440815,-24.261058
3.300000,0.794963,0.016407,0.050000,32.725448,624.571665,-24.015505
3.400000,0.790596,0.016634,0.050000,32.596864,616.882466,-23.770964
3.500000,0.786249,0.016862,0.050000,32.467368,609.368514,-23.527433
3.600000,0.781920,0.017091,0.050000,32.336953,602.025248,-23.284908
3.700000,0.777609,0.017321,0.050000,32.205611,594.848244,-23.043387
3.800000,0.773317,0.017552,0.050000,32.073336,587.833214,-22.802866
3.900000,0.769044,0.017784,0.050000,31.940119,580.976000,-22.563342
4.000000,0.764788,0.018016,0.050000,31.805953,574.272567,-22.324811
4.100000,0.760551,0.018249,0.050000,31.670831,567.719002,-22.087273
4.200000,0.756332,0.018483,0.050000,31.534744,561.311511,-21.850722
4.300000,0.752131,0.018718,0.050000,31.397685,555.046409,-21.615157
4.400000,0.747948,0.018953,0.050000,31.259646,548.920124,-21.380575
4.500000,0.743783,0.019189,0.050000,31.120620,542.929188,-21.146973
4.600000,0.739635,0.019425,0.050000,30.980599,537.070236,-20.914348
4.700000,0.735506,0.019662,0.050000,30.839574,531.340001,-20.682699
4.800000,0.731395,0.019899,0.050000,30.697538,525.735312,-20.452022
4.900000,0.727301,0.020137,0.050000,30.554484,520.253090,-20.222314
5.000000,0.723225,0.020375,0.050000,30.410402,514.890348,-19.993575
5.100000,0.719167,0.020613,0.050000,30.265286,509.644182,-19.765801
5.200000,0.715127,0.020852,0.050000,30.119126,504.511776,-19.538989
5.300000,0.711104,0.021090,0.050000,29.971916,499.490391,-19.313139
5.400000,0.707098,0.021329,0.050000,29.823646,494.577369,-19.088247
5.500000,0.703110,0.021569,0.050000,29.674309,489.770127,-18.864311
5.600000,0.699140,0.021808,0.050000,29.523896,485.066158,-18.641330
5.700000,0.695187,0.022047,0.050000,29.372400,480.463022,-18.419300
5.800000,0.691251,0.022287,0.050000,29.219812,475.958353,-18.198221
5.900000,0.687332,0.022526,0.050000,29.066123,471.549849,-17.978091
6.000000,0.683431,0.022765,0.050000,28.911326,467.235272,-17.758906
6.100000,0.679547,0.023004,0.050000,28.755411,463.012448,-17.540666
6.200000,0.675681,0.023243,0.050000,28.598371,458.879266,-17.323368
6.300000,0.671831,0.023482,0.050000,28.440198,454.833670,-17.107011
6.400000,0.667999,0.023720,0.050000,28.280882,450.873663,-16.891594
6.500000,0.664183,0.023958,0.050000,28.120415,446.997304,-16.677113
